model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro
H2GCN,h0.6_lm_high_h0.6,data\synthetic\exp13_coverage_gaps\h0.6_lm_high_h0.6,2,0.6,64,0.01,0.0005,164,0.8614551083591331,0.7688362024691336,0.8946357871745582,0.7810586006881229,0.8869114577222615
H2GCN,C5_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C5_h0.2_h0.2,0,0.6,64,0.01,0.0005,154,0.7980402830702232,0.7655648396161476,0.8822442325991359,0.8092661796726441,0.8328095766569706
H2GCN,C5_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C5_h0.2_h0.2,1,0.6,64,0.01,0.0005,204,0.8204264870931538,0.7829728479035627,0.8712125266082781,0.8124076857286194,0.8501785826484677
H2GCN,C5_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C5_h0.2_h0.2,2,0.6,64,0.01,0.0005,174,0.8064516129032258,0.7795462197944889,0.8861081107633781,0.8103563712446015,0.8376867243575842
H2GCN,C40_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C40_h0.2_h0.2,0,0.6,64,0.01,0.0005,129,0.5958921694480103,0.2565343762824964,0.7421350809523679,0.3796677381385767,0.6478452371450476
H2GCN,C40_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C40_h0.2_h0.2,1,0.6,64,0.01,0.0005,153,0.6112255406797117,0.2677850856028736,0.7629960047555143,0.39081764111362266,0.6767750578896231
H2GCN,C40_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\C40_h0.2_h0.2,2,0.6,64,0.01,0.0005,180,0.6035640495867769,0.27140993085457316,0.7611563998528379,0.3899420761783445,0.662574493956151
H2GCN,C40_h0.3_h0.3,data\synthetic\exp13_coverage_gaps\C40_h0.3_h0.3,0,0.6,64,0.01,0.0005,222,0.6911424903722722,0.40413421486498624,0.7852276422817739,0.4702132681634419,0.7457539341104953
H2GCN,C40_h0.3_h0.3,data\synthetic\exp13_coverage_gaps\C40_h0.3_h0.3,1,0.6,64,0.01,0.0005,187,0.695417095777549,0.40940564979409777,0.7639371150360453,0.4309734643407094,0.7305272335067182
H2GCN,C40_h0.3_h0.3,data\synthetic\exp13_coverage_gaps\C40_h0.3_h0.3,2,0.6,64,0.01,0.0005,280,0.6833677685950413,0.3943523484873056,0.7642564223142181,0.43162740460772414,0.7271984926820785
H2GCN,C40_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\C40_h0.6_h0.6,0,0.6,64,0.01,0.0005,210,0.686777920410783,0.41881036833786744,0.7382525479611334,0.45650166077346926,0.7090679334679945
H2GCN,C40_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\C40_h0.6_h0.6,1,0.6,64,0.01,0.0005,196,0.6938722966014418,0.4132666291137334,0.7319571767029414,0.4533282470486041,0.7258184973617312
H2GCN,C40_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\C40_h0.6_h0.6,2,0.6,64,0.01,0.0005,233,0.6841425619834711,0.4146766985637618,0.7299566098732395,0.44978380877196644,0.706539646586543
H2GCN,C40_h0.8_h0.8,data\synthetic\exp13_coverage_gaps\C40_h0.8_h0.8,0,0.6,64,0.01,0.0005,190,0.6898587933247754,0.4286793864476328,0.7409920940360973,0.4584245990681996,0.7071045287239428
H2GCN,C40_h0.8_h0.8,data\synthetic\exp13_coverage_gaps\C40_h0.8_h0.8,1,0.6,64,0.01,0.0005,215,0.6959320288362513,0.42003454791135564,0.7335041110597885,0.4549630748175698,0.7292515007313416
