model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro
H2GCN,base_h0.6,data\synthetic\exp2_homophily_sweep\base_h0.6,1,0.6,64,0.01,0.0005,156,0.7311039853412735,0.5725774478797219,0.8546934472196777,0.585882687404748,0.7854393098543864
H2GCN,base_h0.6,data\synthetic\exp2_homophily_sweep\base_h0.6,2,0.6,64,0.01,0.0005,111,0.7394957983193278,0.5578687193581915,0.8572428300332484,0.597562031853281,0.8049958361951679
H2GCN,base_h0.7,data\synthetic\exp2_homophily_sweep\base_h0.7,0,0.6,64,0.01,0.0005,146,0.7316279069767442,0.5579412315249164,0.8317887442832849,0.5927647433849434,0.7818102465958037
H2GCN,base_h0.7,data\synthetic\exp2_homophily_sweep\base_h0.7,1,0.6,64,0.01,0.0005,143,0.7274393037104901,0.5650589949333737,0.8342507496946437,0.5907894514671567,0.7763862496924429
H2GCN,base_h0.7,data\synthetic\exp2_homophily_sweep\base_h0.7,2,0.6,64,0.01,0.0005,139,0.7441643323996265,0.5747384250831978,0.8336800740796683,0.6058203920205841,0.7973228786791696
H2GCN,base_h0.8,data\synthetic\exp2_homophily_sweep\base_h0.8,0,0.6,64,0.01,0.0005,127,0.7413953488372093,0.5838033013836409,0.8183861591275754,0.5950873813776822,0.7874019788684794
H2GCN,base_h0.8,data\synthetic\exp2_homophily_sweep\base_h0.8,1,0.6,64,0.01,0.0005,127,0.7205680256527714,0.5587964779436977,0.8169878656903398,0.5920092714101446,0.7672114330175009
H2GCN,base_h0.8,data\synthetic\exp2_homophily_sweep\base_h0.8,2,0.6,64,0.01,0.0005,123,0.7427637721755369,0.5863315713724135,0.8206878244055943,0.5931710116696495,0.778330584412016
H2GCN,base_h0.9,data\synthetic\exp2_homophily_sweep\base_h0.9,0,0.6,64,0.01,0.0005,153,0.738139534883721,0.594396246420821,0.8106509554810429,0.6027868665968137,0.7786607462026162
H2GCN,base_h0.9,data\synthetic\exp2_homophily_sweep\base_h0.9,1,0.6,64,0.01,0.0005,146,0.7260650480989465,0.5803604539792582,0.8074493830295524,0.6187615947272034,0.7724062175570326
H2GCN,base_h0.9,data\synthetic\exp2_homophily_sweep\base_h0.9,2,0.6,64,0.01,0.0005,183,0.742296918767507,0.6018743752467643,0.8033012267837643,0.6040907670713078,0.7744873982282476
H2GCN,base_h1,data\synthetic\exp2_homophily_sweep\base_h1,0,0.6,64,0.01,0.0005,144,0.7404651162790697,0.5938573897185697,0.8057983260429529,0.6120133184869861,0.7874204729223114
H2GCN,base_h1,data\synthetic\exp2_homophily_sweep\base_h1,1,0.6,64,0.01,0.0005,141,0.7256069628950985,0.598465674359268,0.7991988010540813,0.6211865246289343,0.7651389613478113
H2GCN,base_h1,data\synthetic\exp2_homophily_sweep\base_h1,2,0.6,64,0.01,0.0005,213,0.7371615312791784,0.592831502678319,0.7986760776768426,0.5994890537276845,0.761547274569703
